name,iter_num,0.001,0.005,0.01,0.05
"t-test, equal var = true",60,0,0,0,1
"t-test, equal var = false",60,0,0,0,1
"permutation test, mean stat",60,0,0,0,0
"bootstrap, percentile method",60,0,0,0,1
"bootstrap, basic method",60,0,0,0,1
"bootstrap, bca method",60,0,0,0,1
z-test,61,0,0,0,0
"t-test, equal var = true",61,0,0,0,0
"t-test, equal var = false",61,0,0,0,0
"permutation test, mean stat",61,0,0,0,0
"bootstrap, percentile method",61,0,0,0,0
"bootstrap, basic method",61,0,0,0,0
"bootstrap, bca method",61,0,0,0,0
z-test,62,0,0,0,0
"t-test, equal var = true",62,0,0,0,0
"t-test, equal var = false",62,0,0,0,0
"permutation test, mean stat",62,0,0,0,0
"bootstrap, percentile method",62,0,0,0,0
"bootstrap, basic method",62,0,0,0,0
"bootstrap, bca method",62,0,0,0,0
z-test,63,0,0,0,0
"t-test, equal var = true",63,0,0,0,0
"t-test, equal var = false",63,0,0,0,0
"permutation test, mean stat",63,0,0,0,0
"bootstrap, percentile method",63,0,0,0,0
"bootstrap, basic method",63,0,0,0,0
"bootstrap, bca method",63,0,0,0,0
z-test,64,0,0,0,0
"t-test, equal var = true",64,0,0,0,0
"t-test, equal var = false",64,0,0,0,0
"permutation test, mean stat",64,0,0,0,0
"bootstrap, percentile method",64,0,0,0,0
"bootstrap, basic method",64,0,0,0,0
"bootstrap, bca method",64,0,0,0,0
z-test,65,0,0,0,0
"t-test, equal var = true",65,0,0,0,0
"t-test, equal var = false",65,0,0,0,0
"permutation test, mean stat",65,0,0,0,0
"bootstrap, percentile method",65,0,0,0,0
"bootstrap, basic method",65,0,0,0,0
"bootstrap, bca method",65,0,0,0,0
z-test,66,0,0,0,1
"t-test, equal var = true",66,0,0,0,1
"t-test, equal var = false",66,0,0,0,1
"permutation test, mean stat",66,0,0,0,0
"bootstrap, percentile method",66,0,0,0,1
"bootstrap, basic method",66,0,0,0,1
"bootstrap, bca method",66,0,0,0,1
z-test,67,0,0,0,0
"t-test, equal var = true",67,0,0,0,0
"t-test, equal var = false",67,0,0,0,0
"permutation test, mean stat",67,0,0,0,0
"bootstrap, percentile method",67,0,0,0,0
"bootstrap, basic method",67,0,0,0,0
"bootstrap, bca method",67,0,0,0,0
z-test,68,0,0,0,0
"t-test, equal var = true",68,0,0,0,0
"t-test, equal var = false",68,0,0,0,0
"permutation test, mean stat",68,0,0,0,0
"bootstrap, percentile method",68,0,0,0,0
"bootstrap, basic method",68,0,0,0,0
"bootstrap, bca method",68,0,0,0,0
z-test,69,0,0,0,0
"t-test, equal var = true",69,0,0,0,0
"t-test, equal var = false",69,0,0,0,0
"permutation test, mean stat",69,0,0,0,0
"bootstrap, percentile method",69,0,0,0,0
"bootstrap, basic method",69,0,0,0,0
"bootstrap, bca method",69,0,0,0,0
z-test,70,0,0,0,0
"t-test, equal var = true",70,0,0,0,0
"t-test, equal var = false",70,0,0,0,0
"permutation test, mean stat",70,0,0,0,0
"bootstrap, percentile method",70,0,0,0,0
"bootstrap, basic method",70,0,0,0,0
"bootstrap, bca method",70,0,0,0,0
z-test,71,0,0,0,0
"t-test, equal var = true",71,0,0,0,0
"t-test, equal var = false",71,0,0,0,0
"permutation test, mean stat",71,0,0,0,0
"bootstrap, percentile method",71,0,0,0,0
"bootstrap, basic method",71,0,0,0,0
"bootstrap, bca method",71,0,0,0,0
z-test,72,0,0,0,0
"t-test, equal var = true",72,0,0,0,0
"t-test, equal var = false",72,0,0,0,0
"permutation test, mean stat",72,0,0,0,0
"bootstrap, percentile method",72,0,0,0,0
"bootstrap, basic method",72,0,0,0,0
"bootstrap, bca method",72,0,0,0,0
z-test,73,0,0,0,0
"t-test, equal var = true",73,0,0,0,0
"t-test, equal var = false",73,0,0,0,0
"permutation test, mean stat",73,0,0,0,0
"bootstrap, percentile method",73,0,0,0,0
"bootstrap, basic method",73,0,0,0,0
"bootstrap, bca method",73,0,0,0,0
z-test,74,0,0,0,0
"t-test, equal var = true",74,0,0,0,0
"t-test, equal var = false",74,0,0,0,0
"permutation test, mean stat",74,0,0,0,0
"bootstrap, percentile method",74,0,0,0,0
"bootstrap, basic method",74,0,0,0,0
"bootstrap, bca method",74,0,0,0,0
z-test,75,0,0,0,0
"t-test, equal var = true",75,0,0,0,0
"t-test, equal var = false",75,0,0,0,0
"permutation test, mean stat",75,0,0,0,0
"bootstrap, percentile method",75,0,0,0,0
"bootstrap, basic method",75,0,0,0,0
"bootstrap, bca method",75,0,0,0,0
z-test,76,0,0,0,0
"t-test, equal var = true",76,0,0,0,0
"t-test, equal var = false",76,0,0,0,0
"permutation test, mean stat",76,0,0,0,0
"bootstrap, percentile method",76,0,0,0,0
"bootstrap, basic method",76,0,0,0,0
"bootstrap, bca method",76,0,0,0,0
z-test,77,0,0,0,1
"t-test, equal var = true",77,0,0,0,1
"t-test, equal var = false",77,0,0,0,1
"permutation test, mean stat",77,0,0,0,1
"bootstrap, percentile method",77,0,0,0,1
"bootstrap, basic method",77,0,0,0,1
"bootstrap, bca method",77,0,0,0,1
z-test,78,0,0,0,0
"t-test, equal var = true",78,0,0,0,0
"t-test, equal var = false",78,0,0,0,0
"permutation test, mean stat",78,0,0,0,0
"bootstrap, percentile method",78,0,0,0,0
"bootstrap, basic method",78,0,0,0,0
"bootstrap, bca method",78,0,0,0,0
z-test,79,0,0,0,0
"t-test, equal var = true",79,0,0,0,0
"t-test, equal var = false",79,0,0,0,0
"permutation test, mean stat",79,0,0,0,0
"bootstrap, percentile method",79,0,0,0,0
"bootstrap, basic method",79,0,0,0,1
"bootstrap, bca method",79,0,0,0,0
z-test,80,0,0,0,0
"t-test, equal var = true",80,0,0,0,0
"t-test, equal var = false",80,0,0,0,0
"permutation test, mean stat",80,0,0,0,0
"bootstrap, percentile method",80,0,0,0,0
"bootstrap, basic method",80,0,0,0,0
"bootstrap, bca method",80,0,0,0,0
z-test,81,0,0,0,0
"t-test, equal var = true",81,0,0,0,0
"t-test, equal var = false",81,0,0,0,0
"permutation test, mean stat",81,0,0,0,0
"bootstrap, percentile method",81,0,0,0,0
"bootstrap, basic method",81,0,0,0,0
"bootstrap, bca method",81,0,0,0,0
z-test,82,0,0,0,0
"t-test, equal var = true",82,0,0,0,0
"t-test, equal var = false",82,0,0,0,0
"permutation test, mean stat",82,0,0,0,0
"bootstrap, percentile method",82,0,0,0,0
"bootstrap, basic method",82,0,0,0,0
"bootstrap, bca method",82,0,0,0,0
z-test,83,0,0,0,0
"t-test, equal var = true",83,0,0,0,0
"t-test, equal var = false",83,0,0,0,0
"permutation test, mean stat",83,0,0,0,0
"bootstrap, percentile method",83,0,0,0,0
"bootstrap, basic method",83,0,0,0,0
"bootstrap, bca method",83,0,0,0,0
z-test,84,0,0,0,0
"t-test, equal var = true",84,0,0,0,0
"t-test, equal var = false",84,0,0,0,0
"permutation test, mean stat",84,0,0,0,0
"bootstrap, percentile method",84,0,0,0,0
